entity_id,type,order_id,payment_id,method,currency,debit_paise,credit_paise,amount_paise,fee_paise,tax_paise,settlement_id,settled_at,settlement_utr,settlement_status,settlement_net_amount_paise,settlement_fee_paise,settlement_tax_paise,settlement_created_at
pay_45nynzv42l51fv,payment,order_d4z1dbe5ozch6m,pay_45nynzv42l51fv,netbanking,INR,0,220416,225200,4054,730,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_5kk9xikhi69xn1,payment,order_e4ou5ontbk88ut,pay_5kk9xikhi69xn1,upi,INR,0,60786,60786,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_6mkyzj5yoiyb7j,payment,order_wjk4zgw59mp93u,pay_6mkyzj5yoiyb7j,card,INR,0,87095,89200,1784,321,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_75u51bvveo7k7v,payment,order_iwt3obyg03fjjy,pay_75u51bvveo7k7v,upi,INR,0,63900,63900,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_9es8pdenoc850h,payment,order_todrv24y96qu7g,pay_9es8pdenoc850h,upi,INR,0,10643,10643,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_aoj4gqa155i4v9,payment,order_87n15wi8vh1pzc,pay_aoj4gqa155i4v9,upi,INR,0,487604,487604,0,0,"  SETL_1kb7ws08ojoal2  ",2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_fotswjgjadqj45,payment,order_uht6s3i8v95vhh,"  pay_fotswjgjadqj45  ",wallet,INR,0,68453,70277,1546,278,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_h8a7r25eqj98mh,payment,order_sjbhyphyd0ln5s,pay_h8a7r25eqj98mh,upi,INR,0,16000,16000,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
"  pay_m1eamqoe7ku5ep",payment,order_lty0anikeakeje,pay_m1eamqoe7ku5ep,upi,INR,0,616800,616800,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_mgx2u956vsn4jc,payment,order_xvk250xrnv9koo,pay_mgx2u956vsn4jc,upi,INR,0,24500,24500,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_oiidsj8pk675ak,payment,order_ks8emhmevb1mfv,pay_oiidsj8pk675ak,upi,INR,0,36505,36505,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,"  540876212627 ",processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_ryd5v1vt7ga0e9,payment,order_gle4lkzqmewvzz,"  pay_ryd5v1vt7ga0e9  ",upi,INR,0,66500,66500,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z," 540876212627",processed,2446032,18884,3399,2025-05-05T05:30:00Z
" PAY_tdoqzfxb4soisr ",payment,order_79r7h6bar2l6xt,pay_tdoqzfxb4soisr,netbanking,INR,0,138984,142000,2556,460,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_w9dbw8bvf8ypky,payment,order_bk40vlvzu4nyl9,pay_w9dbw8bvf8ypky,card,INR,0,97542,99900,1998,360,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
" pay_zucc6bbtgpvg02 ",payment,order_ef2a7ra2ttvl2w,pay_zucc6bbtgpvg02,card,INR,0,339104,347300,6946,1250,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
pay_56hzj5zcypb3q2,payment,order_0s3k75fwurgl64,pay_56hzj5zcypb3q2,upi,INR,0,13442,13442,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_5hgpmhzdfruyiv,payment,order_gc4oii63m8ui9w,pay_5hgpmhzdfruyiv,upi,INR,0,42101,42101,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_7rzzq78w2r2lcb,payment,order_v724xt1t838z4s,pay_7rzzq78w2r2lcb,card,INR,0,13963,14300,286,51,"setl_2l18sswp1sby2y  ",2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
"PAY_9KEWI3DH19JRR0 ",payment,order_tytq0s4zmk88rp,pay_9kewi3dh19jrr0,upi,INR,0,567525,567525,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_9mrhrp0wv95rs1,payment,order_09j5qk7gkdmwi9,pay_9mrhrp0wv95rs1,netbanking,INR,0,63034,64402,1159,209,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_adyd3pifsmowcu,payment,order_ivdw3322o53ta6,pay_adyd3pifsmowcu,wallet,INR,0,11201,11500,253,46,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_al5fj3lnp7qdp1,payment,order_fnig6mkeh44z7q,pay_al5fj3lnp7qdp1,upi,INR,0,20000,20000,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_e6zrtkv5lo950a,payment,order_o1ur3woiy7712x,pay_e6zrtkv5lo950a,upi,INR,0,229900,229900,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_j7jc7kt1ca1uuw,payment,order_ai55h3enu3bcss,pay_j7jc7kt1ca1uuw,card,INR,0,44708,45789,916,165,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z," 839364411736  ",processed,2402011,24494,4408,2025-05-06T05:30:00Z
"PAY_k38pknltdmiiue  ",payment,order_pj5lwb1avaiz26,pay_k38pknltdmiiue,netbanking,INR,0,322090,327500,4585,825,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_n4pfcg3phetmkq,payment,order_gfy72pmg7ww21h,pay_n4pfcg3phetmkq,card,INR,0,138649,142000,2840,511,"  setl_2l18sswp1sby2y  ",2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_niedw9ab36mruv,payment,order_pjxir6m9ylrkmh,pay_niedw9ab36mruv,upi,INR,0,10098,10098,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_nzug9d0bt6ppur,payment,order_jyk7bolg9qjhlg,pay_nzug9d0bt6ppur,card,INR,0,47844,49000,980,176,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_ssvfdrpru6xqie,payment,order_l7s5lmbi5bq64t,pay_ssvfdrpru6xqie,upi,INR,0,30700,30700,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_t4ydydv8gg96i9,payment,order_civ7xej77yqy3b,pay_t4ydydv8gg96i9,card,INR,0,63836,65379,1308,235,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_vieq8tr332wwvq,payment,order_xs01twx8e3mt1f,pay_vieq8tr332wwvq,upi,INR,0,54235,54235,0,0,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_yft4fm3tvv3wzi,payment,"order_82zogrvtj4jgx2 ",pay_yft4fm3tvv3wzi,card,INR,0,561097,574659,11493,2069,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
pay_zxwunwa1gaj79n,payment,order_w9yyd1sb3iifh6,pay_zxwunwa1gaj79n,upi,INR,0,167588,168383,674,121,setl_2l18sswp1sby2y,2025-05-06T05:30:00Z,839364411736,processed,2402011,24494,4408,2025-05-06T05:30:00Z
" pay_3otd4aswir3zqd ",payment,order_dupx5xh6gxjhtw,pay_3otd4aswir3zqd,upi,INR,0,66818,66818,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_5689pnv89h1n6p,payment,order_rny5pj6gkklghb,pay_5689pnv89h1n6p,upi,INR,0,161400,161400,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_80qkjnjhbzfjb2,payment,order_97p76dr5jr2m0m,pay_80qkjnjhbzfjb2,wallet,INR,0,25130,25800,568,102,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_a8pamlt27l4kvx,payment,order_s2xiurubcw1hcb,pay_a8pamlt27l4kvx,upi,INR,0,1261500,1261500,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_bhtwb0ofv7n3ua,payment,"ORDEr_kgugr4growynk0  ",pay_bhtwb0ofv7n3ua,card,INR,0,49182,50370,1007,181,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_g61bj233824xbb,payment,order_5dt6sbzpvfkqvj,pay_g61bj233824xbb,card,INR,0,48527,49700,994,179,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,"  997058336328  ",processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_hgzlelbuhrnz63,payment,order_ppyom6lrvtvilk,pay_hgzlelbuhrnz63,upi,INR,0,9900,9900,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_i7wzol40mouy6h,payment,order_t9xm7eyiizex32,pay_i7wzol40mouy6h,wallet,INR,0,28832,29600,651,117,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_o1v1ki7jsc7lez,payment,order_r3q0pp9xxmlq55,"pay_o1v1ki7jsc7lez ",netbanking,INR,0,16478,16836,303,55,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,"  997058336328  ",processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_s1jf9vbs4gdild,payment,order_kfm0hor2ptpi8q,pay_s1jf9vbs4gdild,card,INR,0,292041,299100,5982,1077,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_t9o3za1ml3ewrw,payment,order_5va07fhkx4owd3,pay_t9o3za1ml3ewrw,upi,INR,0,27200,27200,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_v3glz4jrm6cxe0,payment,order_bc7sdrdxzt24ac,pay_v3glz4jrm6cxe0,upi,INR,0,249887,249887,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_ymfzqvceyghd0h,payment,order_cly4fk9g0k7tzg,pay_ymfzqvceyghd0h,upi,INR,0,573317,573317,0,0,setl_2ts409fniwwqg2,2025-05-07T05:30:00Z,997058336328,processed,2810212,9505,1711,2025-05-07T05:30:00Z
pay_45e784hrlrysjy,payment,order_swttdhelgid6ox,pay_45e784hrlrysjy,card,INR,0,110821,113500,2270,409,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_7rqpm4mfaek5iu,payment,order_6k99ts2zwztf5u,pay_7rqpm4mfaek5iu,upi,INR,0,121900,121900,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,"  824154022940 ",processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_br4uxe0pjifpo0,payment,order_s94qv30kompcol,pay_br4uxe0pjifpo0,upi,INR,0,11400,11400,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_brc2riwus49ga3,payment,order_rrrxhy3welg5dt,pay_brc2riwus49ga3,card,INR,0,16501,16900,338,61,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_bv2n85m47qlrgx,payment,order_cgttujii7kd73d,pay_bv2n85m47qlrgx,upi,INR,0,11000,11000,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_gpdriyg5dm8tsf,payment,order_9bgxf353acx47d,pay_gpdriyg5dm8tsf,upi,INR,0,93200,93200,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,"  824154022940  ",processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_nwesuvv9s2c5rd,payment,order_iw9xa27llrdha1,pay_nwesuvv9s2c5rd,card,INR,0,13474,13800,276,50,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_osasvbkmpcrysz,payment,order_88vrkwor2migvz,pay_osasvbkmpcrysz,upi,INR,0,80400,80400,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
"  pay_rq8rzeq5w4yo1y",payment,order_l3hupx35tavfrr,pay_rq8rzeq5w4yo1y,upi,INR,0,39300,39300,0,0,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_us1l6niggidweu,payment,order_vi4mc0szod9cer,"  pay_us1l6niggidweu ",card,INR,0,9666,9900,198,36,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,824154022940,processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_wmv9itqm0ifhw3,payment,order_ybx3rkzzsdws4z,pay_wmv9itqm0ifhw3,card,INR,0,135405,138678,2774,499,setl_ltmteg78lta99p,2025-05-08T05:30:00Z,"  824154022940 ",processed,643067,5856,1055,2025-05-08T05:30:00Z
pay_28crg22k3kwnz7,payment," ORDER_V8YA75U3QUTH6O  ",pay_28crg22k3kwnz7,wallet,INR,0,226562,232600,5117,921,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_2dzfs266ei16mj,payment,order_bnrlm0fla7iwym,"PAY_2DZFS266EI16MJ ",upi,INR,0,117700,117700,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_2iez0w3ywbtubo,payment," ORDEr_6sqqqcuweukw72",pay_2iez0w3ywbtubo,upi,INR,0,885800,885800,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_536y2i7e39y7yk,payment,"  ORDEr_s7zjwin5capke0",pay_536y2i7e39y7yk,upi,INR,0,491900,491900,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_5ckrabmsf5nt5t,payment,order_aelyd1b563g2gb,pay_5ckrabmsf5nt5t,netbanking,INR,0,9690,9900,178,32,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_9d2dstkxekbw3m,payment,order_9g1gm9qbz0vhdy,pay_9d2dstkxekbw3m,upi,INR,0,164753,164753,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_c6zwu5afwvrhim,payment,order_5qzl8vuru5k5t1,pay_c6zwu5afwvrhim,netbanking,INR,0,17405,17783,320,58,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_h0tbtsk5061luv,payment,order_g2ef2sima56frj,pay_h0tbtsk5061luv,upi,INR,0,73400,73400,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_hulyu759c43c2l,payment,order_cz2hsfeitlx8c4,pay_hulyu759c43c2l,card,INR,0,113360,116100,2322,418,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_iga7vlp79qq1f9,payment,order_y6e34voy1idu15,pay_iga7vlp79qq1f9,upi,INR,0,48749,48749,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_iy4tbfcbf1w7f3,payment,order_p1qwxjtyhhmy79,pay_iy4tbfcbf1w7f3,card,INR,0,29954,30679,614,111,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_lyz6sa5e5qvfpv,payment,order_3c7q8hr4bl2ael,pay_lyz6sa5e5qvfpv,card,INR,0,9666,9900,198,36,SETL_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
pay_mil7kqft1dkbe3,payment,order_xrvzr6wn68dlgu,pay_mil7kqft1dkbe3,upi,INR,0,382700,382700,0,0,setl_ppgy8a6b1guo9h,2025-05-09T05:30:00Z,745065385326,on_hold,3330059,14665,2640,2025-05-09T05:30:00Z
